Source RAh RAm RAs DE- DEd DEm DEs Lbol Tbol Class RdiskA e_RdiskA RdiskV e_RdiskV MdiskA e_MdiskA MdiskV e_MdiskV QALMA QVLA SpIdxAV e_SpIdxAV SpIdxV e_SpIdxV Flag RA_deg DEC_deg FieldA A_Flux A_e_Flux A_PFlux A_RMS A_dBmaj A_dBmin A_dPA A_RA_deg A_DEC_deg DistanceA FieldV V_Flux V_e_Flux V_PFlux V_RMS V_dBmaj V_dBmin V_dPA V_RA_deg V_DEC_deg DistanceV
HOPS-207 "" "" 0.0 "" "" "" 0.0 0.6 446.2 Flat "" "" "" "" 1.0 "" "" "" "" "" "" "" "" "" un "" "" HOPS-207 "" "" "" 0.22 "" "" "" "" "" 438.5 "" "" "" "" "" "" "" "" "" "" ""
HOPS-208 5 42 52.733 - 8 44 13.11 0.0 373.5 Flat 75.9 14.1 "" "" 29.8 4.3 "" "" 70.74 "" "" "" "" "" dn 85.71972083333334 -8.736975 HOPS-208 5.769 0.842 2.285 0.23 0.2 0.11 37.8 85.71972083333334 -8.736975 436.1 "" "" "" "" "" "" "" "" "" "" ""
HOPS-209 "" "" 0.0 "" "" "" 0.0 0.3 554.1 I "" "" "" "" 1.3 "" "" "" "" "" "" "" "" "" un "" "" HOPS-209 "" "" "" 0.23 "" "" "" "" "" 435.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-210 5 42 58.285 - 8 38 5.26 1.4 204.9 Flat 127.3 10.0 "" "" 111.3 2.5 "" "" 3.75 "" "" "" "" "" dn 85.74285416666666 -8.634794444444443 HOPS-210 95.129 2.146 20.743 0.43 0.34 0.09 12.3 85.74285416666666 -8.634794444444443 434.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-211 5 42 58.34 - 8 37 44.25 0.3 87.9 Flat 36.2 15.5 "" "" 6.8 1.1 "" "" 141.0 "" "" "" "" "" dn 85.74308333333333 -8.628958333333333 HOPS-211 3.503 0.539 2.455 0.23 0.1 0.06 3.8 85.74308333333333 -8.628958333333333 434.5 "" "" "" "" "" "" "" "" "" "" ""
HOPS-213-A 5 42 48.088 - 8 40 8.47 1.6 534.9 Flat "" "" "" "" 2.8 0.5 "" "" "" "" "" "" "" "" dn 85.70036666666667 -8.669019444444444 HOPS-213 2.45 0.42 2.328 0.22 0.0 0.0 0.0 85.70036666666667 -8.669019444444444 435.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-213-B 5 42 48.077 - 8 40 8.28 1.6 534.9 Flat 39.6 20.7 "" "" 1.8 0.5 "" "" 299.54 "" "" "" "" "" dn 85.70032083333334 -8.668966666666666 HOPS-213 1.606 0.484 1.195 0.22 0.11 0.0 84.9 85.70032083333334 -8.668966666666666 435.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-214 5 42 47.232 - 8 36 36.88 0.1 360.8 Flat 61.7 10.0 "" "" 36.9 1.9 "" "" 27.88 "" "" "" "" "" dn 85.6968 -8.610244444444444 HOPS-214 15.524 0.816 7.626 0.26 0.17 0.07 64.0 85.6968 -8.610244444444444 435.0 "" "" "" "" "" "" "" "" "" "" ""
HOPS-215 5 43 9.583 - 8 29 27.23 0.6 195.5 I 41.9 10.0 "" "" 13.6 1.0 "" "" 53.8 "" "" "" "" "" dn 85.78992916666667 -8.490897222222221 HOPS-215 8.95 0.689 5.24 0.25 0.11 0.07 17.7 85.78992916666667 -8.490897222222221 432.5 "" "" "" "" "" "" "" "" "" "" ""
HOPS-216 5 42 55.566 - 8 32 48.36 0.7 117.7 I 69.3 10.0 "" "" 29.3 1.2 "" "" 20.65 "" "" "" "" "" dn 85.731525 -8.546766666666667 HOPS-216 20.458 0.86 8.776 0.27 0.19 0.04 20.7 85.731525 -8.546766666666667 433.8 "" "" "" "" "" "" "" "" "" "" ""
HOPS-219 5 41 29.289 - 8 43 4.31 2.3 90.0 I 54.3 10.0 "" "" 74.9 1.5 "" "" 6.08 "" "" "" "" "" dn 85.3720375 -8.717863888888889 HOPS-219 71.481 1.393 37.244 0.47 0.14 0.06 87.1 85.3720375 -8.717863888888889 441.1 "" "" "" "" "" "" "" "" "" "" ""
HOPS-220 5 41 29.786 - 8 42 46.21 0.3 193.6 I 55.1 10.0 "" "" 47.9 1.6 "" "" 17.65 "" "" "" "" "" dn 85.37410833333334 -8.71283611111111 HOPS-220 24.538 0.843 12.405 0.28 0.15 0.05 3.8 85.37410833333334 -8.71283611111111 441.0 "" "" "" "" "" "" "" "" "" "" ""
HOPS-221 5 42 47.067 - 8 17 6.91 8.8 172.3 I 41.8 10.0 "" "" 132.3 2.3 "" "" 2.48 "" "" "" "" "" dn 85.6961125 -8.285252777777778 HOPS-221 194.42 3.458 92.91 1.09 0.11 0.1 19.4 85.6961125 -8.285252777777778 432.0 "" "" "" "" "" "" "" "" "" "" ""
HOPS-223 5 42 48.491 - 8 16 34.68 20.4 247.5 I 59.4 10.0 33.7 10.0 129.4 2.5 507.4 22.9 1.85 0.57 2.5 0.06 2.5 0.3 dd 85.70204583333333 -8.2763 HOPS-223 239.497 4.691 75.799 1.08 0.16 0.15 44.4 85.70204583333333 -8.2763 431.8 HOPS-397 0.653 0.023 0.328 9.08 0.09 0.07 4.4 85.70205 -8.276305555555556 431.7
HOPS-224 5 41 32.066 - 8 40 9.77 3.3 48.6 0 107.7 10.0 50.5 13.1 236.6 5.0 310.1 47.4 1.44 1.38 3.0 0.09 3.8 1.44 dd 85.38360833333334 -8.669380555555556 HOPS-224 252.608 5.381 53.175 0.87 0.29 0.18 170.4 85.38360833333334 -8.669380555555556 440.3 HOPS-224 0.242 0.037 0.11 10.3 0.14 0.09 13.5 85.38361250000001 -8.669380555555556 440.3
HOPS-225 5 41 30.343 - 8 40 17.73 0.9 432.5 Flat 25.8 10.0 12.0 10.0 14.8 0.8 179.0 25.8 48.02 4.21 2.0 0.08 3.4 0.94 dd 85.37642916666667 -8.671591666666666 HOPS-225 10.813 0.558 8.496 0.26 0.07 0.03 6.0 85.37642916666667 -8.671591666666666 440.5 HOPS-224 0.101 0.011 0.1 13.61 0.03 0.02 32.6 85.37642916666667 -8.671591666666666 440.3
HOPS-226 "" "" 0.0 "" "" "" 0.0 0.9 350.2 Flat "" "" "" "" 1.0 "" 75.9 "" "" "" "" "" "" "" uu "" "" HOPS-226 "" "" "" 0.24 "" "" "" "" "" 440.4 HOPS-224 "" "" "" 20.23 "" "" "" "" "" 440.3
HOPS-227 5 41 32.34 - 8 37 55.54 0.4 371.0 Flat 60.5 10.8 "" "" 8.7 1.2 "" "" 88.47 "" "" "" "" "" dn 85.38475 -8.632094444444444 HOPS-227 4.808 0.691 2.55 0.23 0.16 0.07 164.5 85.38475 -8.632094444444444 439.8 "" "" "" "" "" "" "" "" "" "" ""
HOPS-228 5 41 34.183 - 8 35 27.87 12.0 293.0 I 41.4 10.0 "" "" 49.6 1.0 "" "" 6.11 "" "" "" "" "" dn 85.39242916666667 -8.591075 HOPS-228 76.663 1.508 41.712 0.52 0.11 0.08 107.3 85.39242916666667 -8.591075 439.2 "" "" "" "" "" "" "" "" "" "" ""
HOPS-229 "" "" 0.0 "" "" "" 0.0 0.4 471.6 Flat "" "" "" "" 1.1 "" "" "" "" "" "" "" "" "" un "" "" HOPS-229 "" "" "" 0.21 "" "" "" "" "" 431.0 "" "" "" "" "" "" "" "" "" "" ""
HOPS-232 5 41 35.471 - 8 8 22.7 1.2 187.9 I 42.8 10.0 "" "" 29.8 1.0 "" "" 19.68 "" "" "" "" "" dn 85.39779583333333 -8.139638888888888 HOPS-232 24.177 0.812 14.3 0.29 0.12 0.06 132.9 85.39779583333333 -8.139638888888888 434.0 "" "" "" "" "" "" "" "" "" "" ""
HOPS-233 "" "" 0.0 "" "" "" 0.0 0.0 106.2 I "" "" "" "" 2.5 "" 134.2 "" "" "" "" "" "" "" uu "" "" HOPS-233 "" "" "" 0.23 "" "" "" "" "" 432.6 HOPS-234 "" "" "" 20.67 "" "" "" "" "" 432.7
HOPS-234 5 41 49.961 - 8 1 26.27 2.4 79.8 I 37.5 10.0 21.7 10.0 46.5 1.0 349.8 21.4 10.49 1.52 2.2 0.07 2.5 0.56 dd 85.45817083333334 -8.02396388888889 HOPS-234 47.095 0.988 30.96 0.4 0.1 0.05 110.9 85.45817083333334 -8.02396388888889 432.7 HOPS-234 0.262 0.016 0.194 7.3 0.06 0.02 113.5 85.45816666666667 -8.023969444444445 432.7
HOPS-235 5 41 25.354 - 8 5 54.7 5.1 680.1 Flat 39.3 10.0 "" "" 63.5 1.2 "" "" 6.15 "" "" "" "" "" dn 85.35564166666667 -8.098527777777779 HOPS-235 79.465 1.565 41.102 0.52 0.11 0.1 3.1 85.35564166666667 -8.098527777777779 432.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-236 5 41 30.223 - 8 3 41.46 5.2 332.8 Flat 57.3 10.0 "" "" 77.6 1.6 "" "" 4.56 "" "" "" "" "" dn 85.37592916666667 -8.061516666666668 HOPS-236 97.707 2.029 40.066 0.55 0.16 0.11 172.6 85.37592916666667 -8.061516666666668 432.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-237 5 41 28.984 - 8 3 25.95 0.3 177.7 I 22.4 10.0 "" "" 15.4 1.0 "" "" 68.85 "" "" "" "" "" dn 85.37076666666667 -8.057208333333334 HOPS-237 8.072 0.527 6.756 0.25 0.06 0.03 135.4 85.37076666666667 -8.057208333333334 432.5 "" "" "" "" "" "" "" "" "" "" ""
HOPS-238 5 41 26.657 - 8 3 12.61 0.4 269.1 I "" "" "" "" 4.4 0.4 "" "" "" "" "" "" "" "" dn 85.36107083333334 -8.053502777777778 HOPS-238 2.54 0.233 1.971 0.23 0.0 0.0 0.0 85.36107083333334 -8.053502777777778 432.2 "" "" "" "" "" "" "" "" "" "" ""
HOPS-239 "" "" 0.0 "" "" "" 0.0 0.3 116.2 I "" "" "" "" 1.4 "" "" "" "" "" "" "" "" "" un "" "" HOPS-239 "" "" "" 0.23 "" "" "" "" "" 431.8 "" "" "" "" "" "" "" "" "" "" ""
HOPS-24 "" "" 0.0 "" "" "" 0.0 0.1 288.9 I "" "" "" "" 1.5 "" "" "" "" "" "" "" "" "" un "" "" HOPS-24 "" "" "" 0.2 "" "" "" "" "" 390.2 "" "" "" "" "" "" "" "" "" "" ""
HOPS-240 5 41 25.988 - 8 1 15.85 0.1 191.0 I "" "" "" "" 6.6 0.7 "" "" "" "" "" "" "" "" dn 85.35828333333333 -8.021069444444445 HOPS-240 2.238 0.233 1.904 0.23 0.0 0.0 0.0 85.35828333333333 -8.021069444444445 431.8 "" "" "" "" "" "" "" "" "" "" ""
HOPS-241 5 41 26.453 - 8 1 2.08 0.7 100.3 I 24.2 10.0 "" "" 20.0 0.8 "" "" 38.45 "" "" "" "" "" dn 85.36022083333333 -8.017244444444446 HOPS-241 14.257 0.571 11.335 0.27 0.07 0.04 37.9 85.36022083333333 -8.017244444444446 431.8 "" "" "" "" "" "" "" "" "" "" ""
HOPS-242-A 5 40 48.53 - 8 11 8.9 0.7 836.7 Flat 28.8 10.0 "" "" 10.7 0.8 "" "" 71.78 "" "" "" "" "" dn 85.20220833333335 -8.185805555555556 HOPS-242 7.417 0.566 5.74 0.26 0.08 0.04 93.2 85.20220833333335 -8.185805555555556 429.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-242-B 5 40 48.549 - 8 11 8.93 0.7 836.7 Flat "" "" "" "" 4.0 0.4 "" "" "" "" "" "" "" "" dn 85.2022875 -8.18581388888889 HOPS-242 2.8 0.254 2.488 0.26 0.0 0.0 0.0 85.2022875 -8.18581388888889 429.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-243 5 41 1.663 - 8 6 44.6 0.5 50.8 0 80.3 12.8 "" "" 15.2 1.8 60.2 "" 44.2 "" "" "" "" "" du 85.25692916666667 -8.112388888888889 HOPS-243 9.358 1.143 2.705 0.23 0.22 0.2 104.1 85.25692916666667 -8.112388888888889 430.0 HOPS-243-244 "" "" "" 11.89 "" "" "" 85.25692916666667 -8.112388888888889 429.9
HOPS-244 5 41 2.01 - 8 6 1.91 1.4 127.3 I 93.5 10.0 36.9 10.0 94.7 2.1 421.1 49.1 4.76 1.32 2.4 0.07 2.1 0.81 dd 85.258375 -8.100530555555554 HOPS-244 83.463 1.828 26.162 0.43 0.26 0.09 92.6 85.258375 -8.100530555555554 429.9 HOPS-243-244 0.28 0.027 0.138 9.79 0.1 0.07 59.1 85.25837916666667 -8.100536111111111 430.0
HOPS-245 5 41 22.892 - 7 58 56.0 0.3 302.1 Flat "" "" "" "" 3.4 0.4 "" "" "" "" "" "" "" "" dn 85.34538333333334 -7.982222222222222 HOPS-245 1.81 0.233 1.608 0.23 0.0 0.0 0.0 85.34538333333334 -7.982222222222222 431.0 "" "" "" "" "" "" "" "" "" "" ""
HOPS-246 5 40 47.112 - 8 9 48.04 0.4 95.6 I 60.1 10.0 "" "" 81.8 2.0 "" "" 9.2 "" "" "" "" "" dn 85.1963 -8.163344444444444 HOPS-246 48.675 1.201 21.297 0.36 0.17 0.08 34.6 85.1963 -8.163344444444444 429.1 "" "" "" "" "" "" "" "" "" "" ""
HOPS-247 5 41 26.187 - 7 56 51.91 3.3 42.8 0 85.3 10.0 35.1 10.0 227.0 4.6 677.6 30.8 1.61 0.67 2.6 0.06 2.6 0.4 dd 85.35911250000001 -7.947752777777778 HOPS-247 252.449 5.121 63.797 0.97 0.23 0.16 17.9 85.35911250000001 -7.947752777777778 430.9 HOPS-247 0.551 0.025 0.348 9.9 0.1 0.06 37.4 85.35911250000001 -7.947752777777778 430.9
HOPS-248-A 5 41 22.138 - 7 58 3.08 2.2 484.3 Flat 29.3 10.0 "" "" 46.2 0.9 "" "" 11.52 "" "" "" "" "" dn 85.34224166666667 -7.967522222222223 HOPS-248 45.824 0.939 31.073 0.39 0.08 0.06 35.7 85.34224166666667 -7.967522222222223 430.7 "" "" "" "" "" "" "" "" "" "" ""
HOPS-248-B 5 41 22.128 - 7 58 2.95 2.2 484.3 Flat "" "" "" "" 2.0 0.4 "" "" "" "" "" "" "" "" dn 85.3422 -7.9674861111111115 HOPS-248 2.024 0.378 2.851 0.39 0.0 0.0 0.0 85.3422 -7.9674861111111115 430.7 "" "" "" "" "" "" "" "" "" "" ""
HOPS-249 5 40 52.869 - 8 5 48.91 0.1 268.5 Flat 62.6 10.0 "" "" 82.6 3.5 "" "" 15.71 "" "" "" "" "" dn 85.2202875 -8.096919444444445 HOPS-249 28.249 1.194 9.8 0.28 0.17 0.14 58.6 85.2202875 -8.096919444444445 428.7 "" "" "" "" "" "" "" "" "" "" ""
HOPS-250 5 40 48.849 - 8 6 57.1 7.1 69.4 0 117.2 10.0 53.9 10.0 133.9 2.9 247.8 28.0 2.0 1.4 2.8 0.08 2.5 1.01 dd 85.20353750000001 -8.11586111111111 HOPS-250 187.77 4.147 26.316 0.63 0.32 0.19 43.4 85.20353750000001 -8.11586111111111 428.5 HOPS-250 0.248 0.028 0.115 7.8 0.15 0.09 40.6 85.20353333333334 -8.115852777777777 428.5
HOPS-250-B 5 40 46.618 - 8 7 12.84 7.1 69.4 0 "" "" 21.5 10.0 "" "" 183.9 15.7 "" 2.21 "" "" -0.8 0.48 nd 85.19424166666667 -8.120233333333333 "" "" "" "" "" "" "" "" "" "" "" HOPS-250 0.184 0.009 0.149 13.6 0.06 0.03 31.5 85.19424166666667 -8.120233333333333 428.5
HOPS-251 5 40 54.017 - 8 5 13.18 0.7 345.7 Flat 65.9 10.0 "" "" 54.5 1.5 "" "" 11.52 "" "" "" "" "" dn 85.22507083333333 -8.086994444444445 HOPS-251 38.016 1.081 16.419 0.31 0.18 0.08 56.7 85.22507083333333 -8.086994444444445 428.7 "" "" "" "" "" "" "" "" "" "" ""
HOPS-252 5 40 49.914 - 8 6 8.43 1.9 329.2 Flat 39.3 14.6 "" "" 3.4 0.6 "" "" 150.13 "" "" "" "" "" dn 85.207975 -8.102341666666666 HOPS-252 3.318 0.556 2.286 0.23 0.11 0.06 108.3 85.207975 -8.102341666666666 428.5 "" "" "" "" "" "" "" "" "" "" ""
HOPS-253 5 41 28.784 - 7 53 51.04 0.7 321.1 Flat 69.5 10.0 "" "" 126.0 3.0 "" "" 4.92 "" "" "" "" "" dn 85.36993333333334 -7.89751111111111 HOPS-253 86.999 2.05 27.033 0.43 0.19 0.16 116.3 85.36993333333334 -7.89751111111111 430.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-254 5 41 24.518 - 7 55 7.41 6.2 114.7 I 102.7 10.0 34.0 10.0 230.2 4.7 709.5 22.9 1.25 0.55 2.6 0.06 2.4 0.29 dd 85.35215833333335 -7.918725 HOPS-254 308.891 6.279 68.261 1.1 0.28 0.16 120.3 85.35215833333335 -7.918725 430.4 HOPS-254 0.682 0.022 0.381 7.4 0.09 0.09 85.2 85.3521625 -7.918733333333334 430.4
HOPS-255-A 5 40 50.576 - 8 5 48.7 0.7 572.0 Flat 30.9 10.0 "" "" 32.2 1.0 "" "" 23.37 "" "" "" "" "" dn 85.21073333333334 -8.096861111111112 HOPS-255 22.54 0.721 14.247 0.28 0.09 0.07 1.0 85.21073333333334 -8.096861111111112 428.4 "" "" "" "" "" "" "" "" "" "" ""
HOPS-255-B 5 40 50.567 - 8 5 48.57 0.7 572.0 Flat "" "" "" "" 1.3 0.4 "" "" "" "" "" "" "" "" dn 85.21069583333333 -8.096825 HOPS-255 0.941 0.273 2.085 0.28 0.0 0.0 0.0 85.21069583333333 -8.096825 428.4 "" "" "" "" "" "" "" "" "" "" ""
HOPS-256 5 40 45.274 - 8 6 42.2 0.1 72.4 0 48.3 15.3 "" "" 7.5 1.6 57.6 "" 160.27 "" "" "" "" "" du 85.18864166666667 -8.111722222222221 HOPS-256 2.968 0.646 1.985 0.25 0.13 0.03 31.1 85.18864166666667 -8.111722222222221 427.7 HOPS-256 "" "" "" 6.7 "" "" "" 85.18864166666667 -8.111722222222221 427.7
HOPS-257 5 41 19.897 - 7 55 46.77 0.3 292.6 Flat 27.0 10.0 "" "" 16.6 1.0 "" "" 57.51 "" "" "" "" "" dn 85.33290416666667 -7.929658333333333 HOPS-257 9.377 0.569 6.797 0.25 0.07 0.05 25.9 85.33290416666667 -7.929658333333333 430.0 "" "" "" "" "" "" "" "" "" "" ""
HOPS-258 5 41 24.727 - 7 54 8.51 1.1 385.7 Flat 46.0 10.0 "" "" 56.8 1.4 "" "" 10.28 "" "" "" "" "" dn 85.35302916666667 -7.902363888888889 HOPS-258 46.29 1.118 23.371 0.36 0.13 0.09 128.1 85.35302916666667 -7.902363888888889 430.2 "" "" "" "" "" "" "" "" "" "" ""
HOPS-259-A 5 40 20.904 - 8 13 55.2 0.8 410.3 Flat 22.4 10.0 "" "" 14.0 0.7 "" "" 54.61 "" "" "" "" "" dn 85.0871 -8.232 HOPS-259 10.525 0.509 8.686 0.25 0.06 0.04 66.7 85.0871 -8.232 425.3 "" "" "" "" "" "" "" "" "" "" ""
HOPS-259-B 5 40 20.933 - 8 14 6.44 0.8 410.3 Flat "" "" "" "" 6.1 1.1 "" "" "" "" "" "" "" "" dn 85.08722083333335 -8.235122222222222 HOPS-259 4.556 0.247 4.396 0.81 0.0 0.0 0.0 85.08722083333335 -8.235122222222222 425.3 "" "" "" "" "" "" "" "" "" "" ""
HOPS-260 5 40 19.4 - 8 14 16.29 1.7 600.1 Flat 136.8 10.0 "" "" 90.2 2.5 "" "" 4.25 "" "" "" "" "" dn 85.08083333333333 -8.237858333333332 HOPS-260 85.74 2.416 10.278 0.35 0.38 0.18 90.7 85.08083333333333 -8.237858333333332 425.1 "" "" "" "" "" "" "" "" "" "" ""
HOPS-261-A 5 41 18.889 - 7 55 28.57 2.4 149.5 I 47.8 15.0 "" "" 3.0 0.6 "" "" 153.45 "" "" "" "" "" dn 85.32870416666667 -7.924602777777778 HOPS-261 3.078 0.629 2.19 0.24 0.13 0.04 62.3 85.32870416666667 -7.924602777777778 429.8 "" "" "" "" "" "" "" "" "" "" ""
HOPS-261-B 5 41 18.894 - 7 55 29.34 2.4 149.5 I 53.3 15.0 "" "" 3.6 0.7 "" "" 123.7 "" "" "" "" "" dn 85.328725 -7.924816666666667 HOPS-261 3.718 0.746 2.165 0.24 0.15 0.07 68.2 85.328725 -7.924816666666667 429.8 "" "" "" "" "" "" "" "" "" "" ""
HOPS-262 5 41 23.979 - 7 53 42.21 0.9 202.4 Flat 27.8 10.0 "" "" 19.1 0.8 "" "" 36.54 "" "" "" "" "" dn 85.3499125 -7.895058333333333 HOPS-262 14.667 0.603 10.531 0.26 0.08 0.07 66.7 85.3499125 -7.895058333333333 430.0 "" "" "" "" "" "" "" "" "" "" ""
HOPS-263 5 41 23.691 - 7 53 46.76 0.7 145.1 I 64.6 10.0 "" "" 49.5 1.5 "" "" 12.25 "" "" "" "" "" dn 85.3487125 -7.896322222222222 HOPS-263 35.743 1.123 11.017 0.26 0.18 0.15 103.9 85.3487125 -7.896322222222222 430.0 "" "" "" "" "" "" "" "" "" "" ""
HOPS-264 5 40 59.115 - 8 0 14.4 0.1 402.3 Flat "" "" "" "" 3.6 1.3 "" "" "" "" "" "" "" "" dn 85.2463125 -8.004 HOPS-264 1.126 0.419 1.044 0.23 0.0 0.0 0.0 85.2463125 -8.004 428.3 "" "" "" "" "" "" "" "" "" "" ""
HOPS-265 5 41 20.35 - 7 53 10.71 0.1 635.1 Flat 37.9 10.0 "" "" 29.5 1.8 "" "" 40.01 "" "" "" "" "" dn 85.33479166666667 -7.886308333333333 HOPS-265 12.496 0.754 6.926 0.25 0.1 0.1 20.1 85.33479166666667 -7.886308333333333 429.5 "" "" "" "" "" "" "" "" "" "" ""
HOPS-266 "" "" 0.0 "" "" "" 0.0 0.0 190.7 Flat "" "" "" "" 2.7 "" "" "" "" "" "" "" "" "" un "" "" HOPS-266 "" "" "" 0.23 "" "" "" "" "" 428.5 "" "" "" "" "" "" "" "" "" "" ""
HOPS-267 5 41 19.675 - 7 50 41.03 1.1 186.2 I 20.8 10.0 "" "" 39.3 0.9 "" "" 17.93 "" "" "" "" "" dn 85.33197916666667 -7.8447305555555555 HOPS-267 32.054 0.709 25.724 0.34 0.06 0.04 145.7 85.33197916666667 -7.8447305555555555 428.9 "" "" "" "" "" "" "" "" "" "" ""
HOPS-268 5 40 38.357 - 8 0 36.03 1.1 113.9 I 91.9 24.9 "" "" 6.9 1.7 "" "" 71.04 "" "" "" "" "" dn 85.15982083333334 -8.010008333333333 HOPS-268 5.768 1.394 1.387 0.26 0.26 0.16 42.2 85.15982083333334 -8.010008333333333 424.3 "" "" "" "" "" "" "" "" "" "" ""
HOPS-270 5 40 40.56 - 7 54 39.77 0.3 96.6 I "" "" "" "" 2.7 1.1 "" "" "" "" "" "" "" "" dn 85.16900000000001 -7.911047222222223 HOPS-270 1.482 0.605 1.072 0.24 0.0 0.0 0.0 85.16900000000001 -7.911047222222223 423.1 "" "" "" "" "" "" "" "" "" "" ""
HOPS-271 "" "" 0.0 "" "" "" 0.0 0.1 108.4 I "" "" "" "" 2.0 "" "" "" "" "" "" "" "" "" un "" "" HOPS-271 "" "" "" 0.23 "" "" "" "" "" 422.4 "" "" "" "" "" "" "" "" "" "" ""
HOPS-273 5 40 20.905 - 7 56 24.58 2.2 243.3 I 90.1 10.0 "" "" 132.6 1.4 "" "" 3.03 "" "" "" "" "" dn 85.08710416666666 -7.940161111111111 HOPS-273 139.235 1.501 38.764 0.3 0.25 0.14 143.0 85.08710416666666 -7.940161111111111 419.4 "" "" "" "" "" "" "" "" "" "" ""
HOPS-274-A 5 40 20.727 - 7 54 59.79 1.9 546.5 Flat "" "" "" "" 1.6 0.2 "" "" "" "" "" "" "" "" dn 85.08636249999999 -7.9166083333333335 HOPS-274 1.6 0.231 1.272 0.23 0.0 0.0 0.0 85.08636249999999 -7.9166083333333335 418.9 "" "" "" "" "" "" "" "" "" "" ""
HOPS-274-B 5 40 20.731 - 7 54 59.99 1.9 546.5 Flat "" "" "" "" 1.2 0.2 "" "" "" "" "" "" "" "" dn 85.08637916666667 -7.916663888888889 HOPS-274 1.206 0.231 1.14 0.23 0.0 0.0 0.0 85.08637916666667 -7.916663888888889 418.9 "" "" "" "" "" "" "" "" "" "" ""
HOPS-275 5 40 36.328 - 7 49 7.11 0.1 146.4 I 34.3 10.0 "" "" 6.9 1.2 "" "" 182.76 "" "" "" "" "" dn 85.15136666666668 -7.818641666666666 HOPS-275 2.919 0.507 2.108 0.23 0.1 0.03 177.2 85.15136666666668 -7.818641666666666 420.7 "" "" "" "" "" "" "" "" "" "" ""
HOPS-276 5 40 42.924 - 7 45 1.98 0.2 303.8 I "" "" "" "" 6.1 1.0 "" "" "" "" "" "" "" "" dn 85.17885000000001 -7.75055 HOPS-276 2.782 0.44 2.599 0.25 0.0 0.0 0.0 85.17885000000001 -7.75055 421.0 "" "" "" "" "" "" "" "" "" "" ""
HOPS-278 5 40 20.379 - 7 51 15.0 0.2 96.3 I 47.9 10.0 "" "" 14.3 1.6 "" "" 68.16 "" "" "" "" "" dn 85.08491250000002 -7.854166666666666 HOPS-278 7.338 0.844 3.539 0.25 0.14 0.1 45.9 85.08491250000002 -7.854166666666666 417.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-279 5 40 17.806 - 7 48 25.84 5.8 382.0 Flat 35.0 10.0 "" "" 42.1 0.8 "" "" 9.15 "" "" "" "" "" dn 85.07419166666666 -7.8071777777777775 HOPS-279 59.311 1.13 38.409 0.45 0.1 0.05 129.5 85.07419166666666 -7.8071777777777775 416.1 "" "" "" "" "" "" "" "" "" "" ""
HOPS-28-A 5 34 47.32 - 5 41 56.08 0.4 46.3 0 52.4 10.0 "" "" 13.7 1.0 44.0 11.9 55.47 "" 2.6 0.13 4.4 3.6 dd 83.69716666666666 -5.698911111111111 HOPS-28 10.082 0.726 4.572 0.23 0.16 0.06 54.0 83.69716666666666 -5.698911111111111 390.6 HOPS-28 0.026 0.007 0.026 7.9 0.0 0.0 0.0 83.69717083333333 -5.698919444444445 390.6
HOPS-28-B 5 34 47.303 - 5 41 56.29 0.4 46.3 0 25.2 10.0 "" "" 3.6 0.7 35.6 "" 253.75 "" "" "" "" "" du 83.69709583333334 -5.698969444444445 HOPS-28 2.616 0.484 2.215 0.23 0.08 0.01 67.3 83.69709583333334 -5.698969444444445 390.6 HOPS-28 "" "" "" 7.0 "" "" "" 83.69709583333334 -5.698969444444445 390.6
HOPS-280 5 40 14.953 - 7 48 48.64 3.2 121.2 I 46.9 10.0 "" "" 76.9 1.4 "" "" 5.53 "" "" "" "" "" dn 85.06230416666666 -7.813511111111111 HOPS-280 91.715 1.69 49.111 0.58 0.13 0.07 59.4 85.06230416666666 -7.813511111111111 415.5 "" "" "" "" "" "" "" "" "" "" ""
HOPS-281-A 5 40 24.648 - 7 43 8.15 1.3 189.3 Flat 31.4 10.0 "" "" 73.4 1.4 "" "" 8.4 "" "" "" "" "" dn 85.1027 -7.718930555555556 HOPS-281 66.243 1.268 40.036 0.48 0.09 0.08 103.9 85.1027 -7.718930555555556 416.1 "" "" "" "" "" "" "" "" "" "" ""
HOPS-281-B 5 40 24.6 - 7 43 8.37 1.3 189.3 Flat "" "" "" "" 1.4 0.5 "" "" "" "" "" "" "" "" dn 85.1025 -7.718991666666667 HOPS-281 1.282 0.458 1.218 0.48 0.0 0.0 0.0 85.1025 -7.718991666666667 416.1 "" "" "" "" "" "" "" "" "" "" ""
