Source RAh RAm RAs DE- DEd DEm DEs Lbol Tbol Class RdiskA e_RdiskA RdiskV e_RdiskV MdiskA e_MdiskA MdiskV e_MdiskV QALMA QVLA SpIdxAV e_SpIdxAV SpIdxV e_SpIdxV Flag RA_deg DEC_deg FieldA A_Flux A_e_Flux A_PFlux A_RMS A_dBmaj A_dBmin A_dPA A_RA_deg A_DEC_deg DistanceA FieldV V_Flux V_e_Flux V_PFlux V_RMS V_dBmaj V_dBmin V_dPA V_RA_deg V_DEC_deg DistanceV
HOPS-100 "" "" 0.0 "" "" "" 0.0 0.0 605.1 I "" "" "" "" 1.9 "" "" "" "" "" "" "" "" "" un "" "" HOPS-100 "" "" "" 0.21 "" "" "" "" "" 392.0 "" "" "" "" "" "" "" "" "" "" ""
HOPS-102 5 34 35.168 - 4 52 17.96 0.5 479.2 I 156.2 10.0 "" "" 48.9 2.0 "" "" 11.25 "" "" "" "" "" dn 83.64653333333334 -4.871655555555556 HOPS-102 36.59 1.481 5.271 0.25 0.47 0.1 108.9 83.64653333333334 -4.871655555555556 392.3 "" "" "" "" "" "" "" "" "" "" ""
HOPS-105 5 35 32.299 - 4 46 48.44 0.1 520.3 Flat 47.0 17.0 "" "" 8.3 1.9 "" "" 152.7 "" "" "" "" "" dn 83.88457916666665 -4.780122222222222 HOPS-105 3.721 0.843 2.038 0.29 0.14 0.1 27.1 83.88457916666665 -4.780122222222222 392.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-107 5 35 23.353 - 4 40 10.29 4.4 472.0 Flat 27.0 10.0 "" "" 25.9 0.5 "" "" 17.08 "" "" "" "" "" dn 83.84730416666666 -4.669525 HOPS-107 37.855 0.765 26.496 0.33 0.08 0.05 120.5 83.84730416666666 -4.669525 392.7 "" "" "" "" "" "" "" "" "" "" ""
HOPS-108 5 35 27.086 - 5 10 0.06 33.5 38.5 0 40.4 10.0 23.7 10.0 24.4 0.4 56.1 10.8 9.4 4.81 2.8 0.1 1.5 1.71 dd 83.86285833333332 -5.166683333333333 HOPS-108 62.631 0.982 27.671 0.29 0.12 0.12 105.7 83.86285833333332 -5.166683333333333 392.8 HOPS-108 0.099 0.019 0.068 7.0 0.07 0.06 156.2 83.86285 -5.166683333333333 392.8
HOPS-11 5 35 13.424 - 5 57 57.88 7.7 48.8 0 41.9 10.0 33.3 10.0 135.3 2.4 322.9 20.1 2.53 1.14 2.7 0.07 2.8 0.6 dd 83.80593333333333 -5.966077777777778 HOPS-11 236.579 4.139 96.238 1.17 0.13 0.12 94.4 83.80593333333333 -5.966077777777778 388.3 HOPS-11 0.402 0.025 0.222 8.9 0.1 0.08 83.1 83.8059375 -5.966083333333334 388.3
HOPS-114 5 40 1.391 - 7 25 38.76 0.0 117.3 I 34.8 10.0 "" "" 11.9 1.6 "" "" 152.66 "" "" "" "" "" dn 85.00579583333334 -7.427433333333334 HOPS-114 3.753 0.504 2.752 0.21 0.1 0.06 10.5 85.00579583333334 -7.427433333333334 405.3 "" "" "" "" "" "" "" "" "" "" ""
HOPS-115 5 39 56.542 - 7 25 51.62 0.3 461.3 Flat 33.6 10.0 "" "" 7.4 0.8 "" "" 129.28 "" "" "" "" "" dn 84.98559166666668 -7.431005555555556 HOPS-115 4.489 0.505 3.278 0.21 0.1 0.06 136.3 84.98559166666668 -7.431005555555556 404.2 "" "" "" "" "" "" "" "" "" "" ""
HOPS-116 5 39 57.912 - 7 25 13.09 0.3 411.1 Flat 40.9 10.0 "" "" 38.0 1.2 "" "" 24.5 "" "" "" "" "" dn 84.9913 -7.420302777777778 HOPS-116 22.619 0.717 12.768 0.26 0.12 0.06 139.8 84.9913 -7.420302777777778 404.4 "" "" "" "" "" "" "" "" "" "" ""
HOPS-117 5 39 55.46 - 7 24 19.48 0.1 277.0 Flat 125.8 10.0 "" "" 93.7 3.8 "" "" 10.25 "" "" "" "" "" dn 84.98108333333334 -7.405411111111111 HOPS-117 40.453 1.661 7.771 0.25 0.37 0.16 120.6 84.98108333333334 -7.405411111111111 403.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-118 5 39 54.605 - 7 24 14.97 0.3 552.8 Flat 33.9 10.0 "" "" 5.8 0.8 "" "" 171.81 "" "" "" "" "" dn 84.97752083333334 -7.404158333333334 HOPS-118 3.386 0.499 2.429 0.21 0.1 0.06 73.7 84.97752083333334 -7.404158333333334 403.4 "" "" "" "" "" "" "" "" "" "" ""
